,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtCond,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleType,SaleCondition,SalePrice,TotalSF,TotalBath,LotFrontageRatio
11,SC60,RL,85.0,11924.0,Pave,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9.0,Hip,Wd Shng,Stone,286.0,TA,PConc,TA,1175.0,Ex,Y,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,Ex,10.0,2.0,Gd,BuiltIn,Fin,736.0,TA,Y,147.0,21.0,0.0,0.0,0.0,0.0,New,Partial,340037.5,4235.0,4.0,0.007128480375712848
12,SC20,RL,0.0,12968.0,Pave,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,Hip,Plywood,None,0.0,TA,CBlock,TA,912.0,TA,Y,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,0.0,No,Detchd,Unf,352.0,TA,Y,140.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,144000.0,2176.0,2.0,0.0
13,SC20,RL,91.0,10652.0,Pave,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7.0,Gable,VinylSd,Stone,306.0,TA,PConc,TA,1494.0,Ex,Y,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Attchd,RFn,840.0,TA,Y,160.0,33.0,0.0,0.0,0.0,0.0,New,Partial,279500.0,3828.0,2.0,0.008542996620352985
14,SC20,RL,0.0,10920.0,Pave,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6.0,Hip,MetalSd,BrkFace,212.0,TA,CBlock,TA,1253.0,TA,Y,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,1.0,Fa,Attchd,RFn,352.0,TA,Y,0.0,170.0,0.0,0.0,0.0,0.0,WD,Normal,157000.0,2858.0,2.5,0.0
15,SC45,RM,51.0,6120.0,Pave,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7.0,Gable,Wd Sdng,None,0.0,TA,BrkTil,TA,832.0,Ex,Y,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,0.0,No,Detchd,Unf,576.0,TA,Y,48.0,112.0,0.0,0.0,0.0,0.0,WD,Normal,132000.0,2262.0,1.0,0.008333333333333333
16,SC20,RL,0.0,11241.0,Pave,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6.0,Gable,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,1004.0,Ex,Y,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,1.0,TA,Attchd,Fin,480.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,149000.0,2488.0,2.0,0.0
17,SC90,RL,72.0,10791.0,Pave,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4.0,Gable,MetalSd,None,0.0,TA,Slab,No,42.0,TA,Y,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,6.0,0.0,No,CarPort,Unf,516.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,90000.0,1854.0,2.0,0.006672226855713094
18,SC20,RL,66.0,13695.0,Pave,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5.0,Gable,VinylSd,None,0.0,TA,PConc,TA,1114.0,Ex,Y,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,0.0,No,Detchd,Unf,576.0,TA,Y,0.0,102.0,0.0,0.0,0.0,0.0,WD,Normal,159000.0,2804.0,2.5,0.004819277108433735
19,SC20,RL,70.0,7560.0,Pave,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,Hip,Plywood,None,0.0,TA,CBlock,TA,1029.0,TA,Y,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,No,Attchd,Unf,294.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,COD,Abnorml,139000.0,2662.0,1.0,0.009259259259259259
20,SC60,RL,101.0,14215.0,Pave,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8.0,Gable,VinylSd,BrkFace,380.0,TA,PConc,TA,1158.0,Ex,Y,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,1.0,Gd,BuiltIn,RFn,853.0,TA,Y,240.0,154.0,0.0,0.0,0.0,0.0,New,Partial,325300.0,4387.0,3.5,0.00710517059444249
21,SC45,RM,57.0,7449.0,Pave,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7.0,Gable,Wd Sdng,None,0.0,TA,PConc,TA,637.0,Ex,Y,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,1.0,Gd,Attchd,Unf,280.0,TA,N,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,139400.0,2025.0,1.0,0.0076520338300443014
22,SC20,RL,75.0,9742.0,Pave,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8.0,Hip,VinylSd,BrkFace,281.0,TA,PConc,TA,1777.0,Ex,Y,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Attchd,RFn,534.0,TA,Y,171.0,159.0,0.0,0.0,0.0,0.0,WD,Normal,230000.0,4106.0,2.0,0.0076986245124204475
23,SC120,RM,44.0,4224.0,Pave,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5.0,Gable,CmentBd,None,0.0,TA,PConc,TA,1040.0,TA,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,TA,Attchd,Unf,572.0,TA,Y,100.0,110.0,0.0,0.0,0.0,0.0,WD,Normal,129900.0,2672.0,2.0,0.010416666666666666
24,SC20,RL,0.0,8246.0,Pave,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,Gable,Plywood,None,0.0,Gd,CBlock,TA,1060.0,Ex,Y,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,1.0,TA,Attchd,Unf,270.0,TA,Y,406.0,90.0,0.0,0.0,0.0,0.0,WD,Normal,154000.0,2390.0,2.0,0.0
25,SC20,RL,110.0,14230.0,Pave,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8.0,Gable,VinylSd,Stone,410.625,TA,PConc,TA,1566.0,Ex,Y,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Attchd,RFn,890.0,TA,Y,0.0,56.0,0.0,0.0,0.0,0.0,WD,Normal,256300.0,4056.0,2.0,0.007730147575544624
26,SC20,RL,60.0,7200.0,Pave,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5.0,Gable,Wd Sdng,None,0.0,TA,CBlock,TA,900.0,TA,Y,900.0,0.0,0.0,900.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,0.0,No,Detchd,Unf,576.0,TA,Y,222.0,32.0,0.0,0.0,0.0,0.0,WD,Normal,134800.0,2376.0,1.0,0.008333333333333333
27,SC20,RL,98.0,11478.0,Pave,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8.0,Gable,VinylSd,Stone,200.0,TA,PConc,TA,1704.0,Ex,Y,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,1.0,Gd,Attchd,RFn,772.0,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,WD,Normal,306000.0,4180.0,3.0,0.008538072834988674
28,SC20,RL,47.0,16321.0,Pave,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5.0,Gable,MetalSd,None,0.0,TA,CBlock,TA,1484.0,TA,Y,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,2.0,Gd,Attchd,RFn,319.0,TA,Y,288.0,170.0,0.0,0.0,0.0,0.0,WD,Normal,207500.0,3403.0,2.0,0.0028797255070155017
29,SC30,RM,60.0,6324.0,Pave,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4.0,Gable,MetalSd,None,0.0,TA,BrkTil,TA,520.0,Fa,N,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,Fa,4.0,0.0,No,Detchd,Unf,240.0,TA,Y,49.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,68500.0,1280.0,1.0,0.009487666034155597
30,SC70,C (all),50.0,8500.0,Pave,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4.0,Gambrel,BrkFace,None,0.0,Fa,BrkTil,TA,649.0,TA,N,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,No,Detchd,Unf,250.0,Fa,N,0.0,54.0,0.0,0.0,0.0,0.0,WD,Normal,40000.0,2216.0,1.0,0.0058823529411764705
31,SC20,RL,0.0,8544.0,Pave,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5.0,Gable,HdBoard,None,0.0,TA,CBlock,TA,1228.0,Gd,Y,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,0.0,No,Attchd,Unf,271.0,TA,Y,0.0,65.0,0.0,0.0,0.0,0.0,WD,Normal,149350.0,2727.0,1.5,0.0
32,SC20,RL,85.0,11049.0,Pave,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8.0,Gable,VinylSd,None,0.0,TA,PConc,TA,1234.0,Ex,Y,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,0.0,No,Attchd,RFn,484.0,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,WD,Normal,179900.0,2952.0,2.0,0.00769300389175491
33,SC20,RL,70.0,10552.0,Pave,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,Hip,BrkFace,None,0.0,TA,CBlock,TA,1398.0,Gd,Y,1700.0,0.0,0.0,1700.0,0.0,0.0,1.0,1.0,4.0,1.0,Gd,6.0,1.0,Gd,Attchd,RFn,447.0,TA,Y,0.0,38.0,0.0,0.0,0.0,0.0,WD,Normal,165500.0,3545.0,1.5,0.006633813495072024
34,SC120,RL,60.0,7313.0,Pave,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9.0,Hip,MetalSd,BrkFace,246.0,TA,PConc,TA,1561.0,Ex,Y,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,6.0,1.0,Gd,Attchd,Fin,556.0,TA,Y,203.0,47.0,0.0,0.0,0.0,0.0,WD,Normal,277500.0,3678.0,3.0,0.008204567209079722
35,SC60,RL,108.0,13418.0,Pave,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8.0,Gable,VinylSd,Stone,132.0,TA,PConc,TA,1117.0,Ex,Y,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,1.0,Gd,BuiltIn,Fin,691.0,TA,Y,113.0,32.0,0.0,0.0,0.0,0.0,WD,Normal,309000.0,4260.0,3.5,0.008048889551348934
36,SC20,RL,112.0,10859.0,Pave,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5.0,Gable,VinylSd,None,0.0,TA,PConc,TA,1097.0,Ex,Y,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,0.0,No,Attchd,Unf,672.0,TA,Y,392.0,64.0,0.0,0.0,0.0,0.0,WD,Normal,145000.0,2866.0,1.5,0.010314025232526015
37,SC20,RL,74.0,8532.0,Pave,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,Hip,Wd Sdng,BrkFace,410.625,TA,CBlock,TA,1297.0,Gd,Y,1297.0,0.0,0.0,1297.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,1.0,TA,Attchd,Fin,498.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,153000.0,3092.0,1.0,0.008673230192217534
38,SC20,RL,68.0,7922.0,Pave,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,Gable,VinylSd,None,0.0,Gd,CBlock,TA,1057.0,TA,Y,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,0.0,No,Detchd,Unf,246.0,TA,Y,0.0,52.0,0.0,0.0,0.0,0.0,WD,Abnorml,109000.0,2360.0,2.0,0.008583690987124463
39,SC90,RL,65.0,6040.0,Pave,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4.0,Gable,Plywood,None,0.0,TA,PConc,No,42.0,TA,N,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,2.0,1.0,Fa,6.0,0.0,No,No,No,0.0,No,N,0.0,0.0,0.0,0.0,0.0,0.0,WD,AdjLand,82000.0,1194.0,2.0,0.01076158940397351
40,SC20,RL,84.0,8658.0,Pave,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6.0,Gable,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,1088.0,Ex,Y,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,1.0,TA,Attchd,RFn,440.0,TA,Y,0.0,138.0,0.0,0.0,0.0,0.0,WD,Abnorml,160000.0,2852.0,2.0,0.009702009702009701
41,SC20,RL,115.0,16905.0,Pave,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5.0,Gable,VinylSd,None,0.0,Gd,CBlock,TA,1350.0,Gd,Y,1328.0,0.0,0.0,1328.0,0.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,2.0,Gd,Attchd,RFn,308.0,TA,P,0.0,104.0,0.0,0.0,0.0,0.0,WD,Normal,170000.0,2986.0,1.5,0.006802721088435374
42,SC85,RL,0.0,9180.0,Pave,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5.0,Gable,HdBoard,None,0.0,TA,CBlock,TA,840.0,Gd,Y,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2.0,1.0,Gd,5.0,0.0,No,Attchd,RFn,504.0,Gd,Y,240.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,144000.0,2228.0,2.0,0.0
43,SC20,RL,0.0,9200.0,Pave,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5.0,Hip,VinylSd,None,0.0,TA,CBlock,TA,938.0,TA,Y,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,0.0,No,Detchd,Unf,308.0,TA,Y,145.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,130250.0,2184.0,2.0,0.0
44,SC20,RL,70.0,7945.0,Pave,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5.0,Gable,Wd Sdng,None,0.0,TA,CBlock,TA,1150.0,Ex,Y,1150.0,0.0,0.0,1150.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,No,Attchd,RFn,300.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,141000.0,2600.0,2.0,0.00881057268722467
45,SC120,RL,61.0,7658.0,Pave,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9.0,Hip,MetalSd,BrkFace,410.625,TA,PConc,TA,1752.0,Ex,Y,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,6.0,1.0,Gd,Attchd,RFn,576.0,TA,Y,196.0,82.0,0.0,0.0,0.0,0.0,WD,Normal,319900.0,4080.0,3.0,0.007965526247061896
46,SC50,RL,48.0,12822.0,Pave,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7.0,Gable,VinylSd,None,0.0,TA,PConc,TA,1434.0,Ex,Y,1518.0,631.0,0.0,2149.0,1.0,0.0,1.0,1.0,1.0,1.0,Gd,6.0,1.0,Ex,Attchd,RFn,670.0,TA,Y,168.0,43.0,0.0,0.0,0.0,0.0,WD,Abnorml,239686.0,4253.0,2.5,0.003743565746373421
47,SC20,FV,84.0,11096.0,Pave,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8.0,Gable,VinylSd,None,0.0,TA,PConc,TA,1656.0,Ex,Y,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,0.0,No,Attchd,RFn,826.0,TA,Y,0.0,146.0,0.0,0.0,0.0,0.0,WD,Normal,249700.0,4138.0,2.0,0.007570295602018745
48,SC190,RM,33.0,4456.0,Pave,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4.0,Gable,MetalSd,None,0.0,TA,BrkTil,TA,736.0,Gd,Y,736.0,716.0,0.0,1452.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,8.0,0.0,No,No,No,0.0,No,N,0.0,0.0,0.0,0.0,0.0,0.0,New,Partial,113000.0,2188.0,2.0,0.007405745062836625
49,SC20,RL,66.0,7742.0,Pave,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5.0,Gable,HdBoard,None,0.0,TA,CBlock,TA,955.0,Ex,Y,955.0,0.0,0.0,955.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,0.0,No,Attchd,Unf,386.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,127000.0,2296.0,2.0,0.008524928958925343
50,SC60,RL,0.0,13869.0,Pave,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6.0,Gable,VinylSd,None,0.0,TA,PConc,TA,794.0,Gd,Y,794.0,676.0,0.0,1470.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,0.0,No,Attchd,Fin,388.0,TA,Y,0.0,75.0,0.0,0.0,0.0,0.0,WD,Normal,177000.0,2652.0,2.0,0.0
51,SC50,RM,52.0,6240.0,Pave,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6.0,Gable,Wd Sdng,None,0.0,TA,PConc,TA,816.0,TA,Y,816.0,0.0,0.0,1176.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,Gd,Detchd,Unf,528.0,TA,Y,112.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,114500.0,2520.0,1.0,0.008333333333333333
52,SC90,RM,110.0,8472.0,Grvl,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5.0,Gable,Wd Sdng,None,0.0,TA,CBlock,TA,816.0,TA,N,816.0,0.0,0.0,816.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,0.0,No,CarPort,Unf,516.0,TA,Y,106.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,110000.0,2148.0,2.0,0.012983947119924457
53,SC20,RL,68.0,17673.5,Pave,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9.0,Gable,Wd Shng,None,0.0,TA,CBlock,TA,1842.0,Gd,Y,1842.0,0.0,0.0,1842.0,2.0,0.0,0.0,1.0,0.5,1.0,Gd,5.0,1.0,Gd,Attchd,Fin,894.0,TA,Y,420.0,72.0,0.0,0.0,0.0,0.0,WD,Normal,340037.5,4578.0,2.5,0.0038475683933572864
54,SC80,RL,60.0,7134.0,Pave,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5.0,Gable,MetalSd,None,0.0,TA,CBlock,TA,384.0,TA,Y,1360.0,0.0,0.0,1360.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,1.0,TA,Detchd,Unf,572.0,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,WD,Normal,130000.0,2316.0,1.0,0.008410428931875526
55,SC20,RL,100.0,10175.0,Pave,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6.0,Gable,Plywood,BrkFace,272.0,TA,CBlock,TA,1425.0,Gd,Y,1425.0,0.0,0.0,1425.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,1.0,Gd,Attchd,RFn,576.0,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,WD,Normal,180500.0,3426.0,2.0,0.009828009828009828
56,SC160,FV,24.0,2645.0,Pave,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8.0,Gable,MetalSd,BrkFace,410.625,TA,PConc,TA,970.0,Ex,Y,983.0,756.0,0.0,1739.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,0.0,No,Attchd,Fin,480.0,TA,Y,115.0,0.0,0.0,0.0,0.0,0.0,WD,Abnorml,172500.0,3189.0,3.5,0.009073724007561436
57,SC60,RL,89.0,11645.0,Pave,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7.0,Gable,VinylSd,None,0.0,TA,PConc,TA,860.0,Ex,Y,860.0,860.0,0.0,1720.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,0.0,No,Attchd,RFn,565.0,TA,Y,0.0,70.0,0.0,0.0,0.0,0.0,WD,Normal,196500.0,3145.0,2.5,0.007642765135251181
